Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"Gene86",115.988094820687,-1.7994160626573,0.462669217272516,-3.88920636057235,0.000100572574281,0.003606602037823
"Gene93",5.45140236218413,-2.34567847570995,0.874950298544068,-2.68092768196456,0.007341838043952,0.049207472941571
"Gene94",2.42711219958348,3.25292653432999,1.10354628888474,2.94770284408952,0.003201446406098,0.0301811098042
"Gene100",58.2860586962799,-3.02694587104601,0.665719988788713,-4.54687544616707,5.44E-06,0.000758399715904
"Gene101",48.4586343322378,-1.81686276345021,0.452069631962893,-4.01898874640476,5.84E-05,0.002648428948451
"Gene111",25.4534592541529,-1.69877139660382,0.584124325002065,-2.90823601054076,0.003634739120151,0.032362244225003
"Gene112",11.9436567797234,2.1910825197441,0.551796939988317,3.97081310344073,7.16E-05,0.002956815398173
"Gene118",2.62437445839733,-3.91211529951642,1.16426127191957,-3.36016957178894,0.00077894646473,0.012563050045523
"Gene122",1.92814135961368,3.62231301338006,1.19157031025283,3.03994903381865,0.002366181862045,0.024794855704396
"Gene127",115.476970483182,-2.52960170996983,0.700425023199203,-3.6115238978982,0.000304403026926,0.006998700817372
"Gene128",53.7846562685772,-1.38845927159126,0.518120253935355,-2.67980118716706,0.007366589847696,0.049253250838209
"Gene130",150.950746855318,-2.1615790170993,0.674966938958264,-3.20249614067832,0.001362421257388,0.017888755256644
"Gene152",22.7884518058948,1.86793811626668,0.605870489489033,3.08306502573185,0.002048803814213,0.022690918665944
"Gene153",20.4282955152604,1.78447442513813,0.522587729811588,3.41468871797181,0.000638549413368,0.011045891280773
"Gene155",83.6790541579959,-1.72538020787366,0.413296813192168,-4.17467580876656,2.98E-05,0.002007456644556
"Gene166",4.79887722472073,3.05785467962412,1.01859083224161,3.0020441798938,0.002681732529308,0.026960812826937
"Gene174",83.4282016102105,-1.5566639121593,0.556540994311939,-2.79703369216104,0.005157415478918,0.040067926762736
"Gene185",50.4441441674876,-1.32075156138469,0.492224018444161,-2.68323265808802,0.007291424564136,0.048990101664582
"Gene199",10.9383473122823,-2.4518960615135,0.767747102990259,-3.19362463494,0.001404986737654,0.018271533970113
"Gene205",54.5922873300948,-2.88039394340662,0.53358297126306,-5.39821189680839,6.73E-08,6.11E-05
"Gene220",37.5234933224309,1.51726790284155,0.540561258928543,2.80683803691178,0.005003038936299,0.039452328746586
"Gene229",18.9534626730361,2.6933798014636,0.666302522304002,4.04227766112935,5.29E-05,0.002552567051201
"Gene230",8.2427768055008,1.9281336589764,0.580417384593207,3.32197778729139,0.000893818090999,0.013604510552666
"Gene235",75.0870135365562,-1.28463067365522,0.451932701856792,-2.84252648320698,0.004475751244724,0.036509533731289
"Gene239",52.7024310935148,-1.75496645738807,0.647940698739896,-2.70852943919265,0.006758211611129,0.046673631266214
"Gene243",22.2452419303681,1.54742738928919,0.513326478331173,3.01450919562905,0.002573954082269,0.026166932452027
"Gene254",24.5785224013114,3.12216480098599,0.754994093073815,4.13534997111658,3.54E-05,0.002162915127661
"Gene263",14.804615945426,2.3107600726091,0.543753546670511,4.24964597795868,2.14E-05,0.001620386073206
"Gene268",115.879916803794,2.70541423003036,0.6731686701916,4.01892475070227,5.85E-05,0.002648428948451
"Gene274",33.9339962914455,-2.27130998942517,0.66272588804387,-3.42722388004077,0.000609786102151,0.010718466034264
"Gene277",18.4782797902646,-3.37128256210912,0.946254253990148,-3.56276608310415,0.000366967647353,0.007869761964263
"Gene279",13.1758182362805,1.99676445816197,0.648249537644139,3.08024046637749,0.002068335289837,0.022727925920204
"Gene280",32.8951610896074,-1.64902506175914,0.587861441979388,-2.80512539860874,0.005029700770575,0.03955444904645
"Gene290",104.090080395501,-1.42363768018122,0.511840096918532,-2.78141100853967,0.005412316711747,0.041074810253909
"Gene316",14.8392759037174,-1.95451634254631,0.683357356481488,-2.86016726681607,0.004234176156767,0.035321740332365
"Gene317",2227.32908116843,-2.40096399554065,0.599563031157826,-4.00452307892317,6.21E-05,0.002699661635152
"Gene318",72.1821206332678,1.94663704933148,0.459885230163161,4.23287577346382,2.31E-05,0.001676271957348
"Gene323",5.29797316169641,2.52383707207506,0.803221260942149,3.14214425688221,0.001677153816522,0.020218608730597
"Gene333",8.0851109472377,2.1997927429549,0.740151593362287,2.9720840469476,0.002957857012061,0.028508490982966
"Gene340",19.4241244399339,-1.71454084950834,0.546263201594651,-3.13867169617733,0.001697154761607,0.020280255035075
"Gene344",913.879182369797,-2.12545665640819,0.594091341066185,-3.57765971238319,0.000346684386084,0.007496361983231
"Gene349",88.6438454058815,2.26852386082163,0.619363726563769,3.66266825699885,0.000249601698785,0.006176530702769
"Gene358",17.3326245802433,2.16183503573937,0.564258490152715,3.83128490482132,0.000127475789279,0.00418443117942
"Gene382",22.9843425551191,-1.70457575486359,0.58469554293354,-2.915321957666,0.003553217791241,0.032069403790768
"Gene388",8.10550294304829,3.05838927879621,0.73989889994043,4.13352321383698,3.57E-05,0.002162915127661
"Gene405",122.230487574305,-1.66752871377669,0.497791322100187,-3.34985492865037,0.000808538946681,0.012775701055758
"Gene408",3.89652885394099,2.15839165704876,0.727098353838894,2.96850026637111,0.002992568428428,0.028708636208631
"Gene434",197.106792740464,1.53234483455721,0.496746071523557,3.08476487767159,0.002037131258868,0.022653731080758
"Gene445",179.299620909434,-1.83647702051337,0.423347626578815,-4.33798822814817,1.44E-05,0.001328012313154
"Gene446",132.847282796511,1.65122478070321,0.495436748994528,3.33286697858872,0.00085956028326,0.01323238543354
"Gene449",33.9237576273593,1.86731449116104,0.539698308728602,3.45992281421075,0.000540330246586,0.010020184830794
"Gene450",20.747004004337,-2.35067882338059,0.538797323732328,-4.36282572284712,1.28E-05,0.001257474104802
"Gene454",24.2633009441596,2.14061969251515,0.539358776187633,3.96882332692491,7.22E-05,0.002959192368421
"Gene459",189.27449392292,-2.72048339541437,0.538752251244725,-5.04960005109771,4.43E-07,0.000197282227211
"Gene462",95.6347569494673,1.578382427721,0.542100579368551,2.91160439186309,0.003595777308532,0.032225971306231
"Gene465",121.543709399696,-2.16608869715018,0.519504170520323,-4.16953091056165,3.05E-05,0.002028272090695
"Gene467",20.3671573312005,2.72576710664468,0.669815948614116,4.0694270004834,4.71E-05,0.002397648289691
"Gene474",5.92786711353075,1.92764117083688,0.680185173020023,2.8339946933541,0.00459700953639,0.03710978513154
"Gene475",224.820500840294,-1.82488820779698,0.489330073733774,-3.72936041693165,0.000191966409952,0.005281465175081
"Gene485",8.31010579827914,2.67070454529966,0.804986659540242,3.31770037881746,0.000907617877579,0.013737805041459
"Gene495",75.0921501037249,-1.69104548544634,0.459333126827881,-3.68152303127922,0.00023184484109,0.005875918786513
"Gene504",3.42879611184654,4.84697115527835,1.23766578406396,3.91621972400578,8.99E-05,0.003380194161173
"Gene505",12.0908907668819,-2.33058520942291,0.622003677580052,-3.74689940498457,0.000179033840653,0.005054691179898
"Gene514",62.5034226892127,-1.97822272019192,0.665679850016106,-2.97173291356806,0.002961241676704,0.028508490982966
"Gene517",26.7097705941292,1.88100596383615,0.634142906965512,2.9662177770577,0.003014869227045,0.028821091961702
"Gene520",10.0830683349617,1.81881581780847,0.653439741419366,2.78344842304471,0.005378441310119,0.041046395936748
"Gene523",15.0120955970492,1.77808171325117,0.582490597221459,3.05255006987718,0.002269058730055,0.024101561442632
"Gene527",32.5616030178369,-2.57673863170057,0.67839961970145,-3.79826072549177,0.000145715002447,0.004537148847623
"Gene538",77.5612027547915,1.63424004602752,0.515135388798396,3.17244763525089,0.001511598165178,0.019155112562916
"Gene574",21.070880357065,-1.94587641529022,0.725541562101004,-2.68196408990741,0.007319131594129,0.049115699576855
"Gene575",17.9207128758528,1.90013416388867,0.660391246939076,2.87728550718354,0.004011124980222,0.034346389371609
"Gene584",290.331843765627,-1.45727226901387,0.506530646505831,-2.8769676209455,0.004015167926173,0.034346389371609
"Gene594",61.7556733640818,-1.88171733769008,0.52376031435045,-3.59270698090924,0.000327260521995,0.00730837124733
"Gene595",701.534916426652,-1.8878204920071,0.469099845843487,-4.02434686076824,5.71E-05,0.002638316092285
"Gene600",7.86089445679927,2.33953654965613,0.719829805760881,3.25012458630158,0.001153544603939,0.015994057371159
"Gene609",38.9038418484404,-2.57810851740233,0.642419390233017,-4.01312375777949,5.99E-05,0.002676284265278
"Gene613",409.741602280069,-1.44997934371573,0.517431435080503,-2.80226373082674,0.005074537123367,0.039785831345652
"Gene628",24.3471382209204,-2.01660312721654,0.732219616432576,-2.75409601430997,0.005885449937272,0.043513998247209
"Gene646",14.4064551213306,-4.04826476891666,1.35484273508367,-2.98799607075183,0.002808131645933,0.027620052957922
"Gene657",35.5631943604491,1.67050495160441,0.494312757190287,3.37944940183153,0.000726311754574,0.012082714224083
"Gene663",36.2737560034399,1.75222429671506,0.517753034323145,3.38428590574217,0.000713636497742,0.011928237043543
"Gene667",1.70642733598773,3.79639917253288,1.16658464147807,3.25428523362251,0.001136780781906,0.015801832858694
"Gene669",21.5501197793227,1.67529297165286,0.556619619377852,3.00976270567929,0.002614518667414,0.026431377029197
"Gene678",76.7211653767452,1.76736561864155,0.482809688387409,3.66058441069104,0.000251640634248,0.006176530702769
"Gene697",2.6910697899992,3.44708792818228,1.00568704064424,3.42759505578801,0.000608953070348,0.010718466034264
"Gene719",15.1249548715104,-3.52768765539033,0.684671224520785,-5.15238194486622,2.57E-07,0.000140147478198
"Gene728",137.101602775155,-2.20230997497994,0.664230749565286,-3.31557967832906,0.000914532661479,0.013740872946117
"Gene747",112.968182404931,-1.67467777721563,0.542323088888961,-3.08797064245686,0.002015283785351,0.022601464533013
"Gene757",37.427980765136,2.08722739074591,0.653456748988665,3.19413242571334,0.001402517651233,0.018271533970113
"Gene775",29.730745904703,2.08885668542122,0.638470229134598,3.27165870874281,0.001069185591693,0.015251288715019
"Gene785",4.72140956330373,-2.82105320557913,0.984527060577662,-2.86538919907789,0.004164969988549,0.035077158373422
"Gene790",7.82967633407338,2.25470910856503,0.773361496053549,2.91546594971533,0.003551578595391,0.032069403790768
"Gene810",138.855061708915,-1.50219916801264,0.554771757240853,-2.70777873676158,0.00677351644713,0.046720115342294
"Gene813",651.973079402561,-2.46004623819144,0.51779415342412,-4.75101200336737,2.02E-06,0.000441153472044
"Gene822",4.98234517278566,2.32832450432563,0.854291958494971,2.72544354558539,0.006421515703702,0.045544260490723
